0 [1.0 1.0 1.0 1.0 0.0 -1.0 113.0 10.0 6.0 0.0 13.0 27.0 14.0 77.0 149.0 -99.0 10.0 0.0 0.0 -1.0 1.0 3.0 1.0 30000000.0 6.0 3.0 0.0 1.0 1.0 1.0,201505220079+1
1 [0.3 1.0 1.0 1.0 0.0 -1.0 91.2 7.4 5.3 0.0 6.1 8.5 14.5 75.1 91.2 46.0 10.0 0.8 0.4 0.8 0.4 2.8 -0.6 -1.0 0.4 2.6 -6.3 -6.1 0.0 -6.1,201602070040 201606270047 201503240034 201507150007 201612270018 201610200015 201505250021 201507250057 201503070005 201507160021+0
2 [0.0 1.0 1.0 1.0 0.0 -1.0 209.0 10.0 2.5 0.0 5.5 8.0 14.0 76.16666666666667 209.0 -99.0 10.0 0.3333333333333333 0.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.5 0.5 0.0 0.5,201508060086 201602030068 201507300010 201602030069 201604140041 201609220027+0
3 [1.0 1.0 1.0 1.0 0.0 -1.0 214.0 9.0 6.0 0.0 5.0 5.0 2.0 18.0 214.0 -99.0 10.0 0.0 1.0 3.0 1.0 1.0 1.0 11163900.0 5.0 2.0 -9.0 -9.0 0.0 -9.0,201607180072+3
4 [1.0 1.0 1.0 1.0 0.0 -1.0 113.0 10.0 6.0 0.0 13.0 27.0 1.0 6.0 124.0 4.0 10.0 0.0 0.0 -1.0 1.0 1.0 1.0 5677746.98 5.0 1.0 -9.0 -9.0 1.0 1.0,201512150048+2
5 [0.0 1.0 1.0 1.0 0.0 -1.0 200.0 10.0 3.0 0.0 6.0 11.0 14.0 75.0 200.0 -99.0 10.0 8.0 0.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201503040010 201507210103 201506210054+0
6 [0.0 1.0 1.0 1.0 0.05454545454545454 -0.6909090909090909 60.0 10.0 3.090909090909091 0.0 6.1454545454545455 12.309090909090909 13.981818181818182 72.0 60.0 -99.0 10.0 0.9454545454545454 0.6181818181818182 1.490909090909091 0.01818181818181818 -0.9090909090909091 -0.9818181818181818 -1.0 -0.9454545454545454 -0.9090909090909091 -9.0 -9.0 0.0 -9.0,201503050057 201504300121 201611250024 201502270038 201504130097 201504200071 201610080032 201504300120 201509140074 201605260029 201504240039 201504020012 201504240015 201507070094 201503070058 201502170091 201503310055 201502170093 201512120037 201610270059 201505230038 201503140008 201505220085 201609080025 201504230036 201611060055 201507240066 201610110009 201507250046 201607160051 201610080033 201504300076 201509130061 201509090067 201609020057 201503190025 201508060107 201504060026 201501290100 201508110076 201603120042 201511060042 201502010101 201510210040 201601270039 201606290011 201512310015 201504260107 201506300082 201502100037 201611070015 201611070014 201502270058 201501260045 201505110100+0
7 [1.0 1.0 1.0 1.0 0.0 -1.0 200.0 10.0 6.0 0.0 5.0 5.0 3.0 22.0 200.0 -99.0 10.0 0.0 1.0 3.0 1.0 9.0 1.0 -99.0 2.0 9.0 0.0 0.0 0.0 0.0,201504010029+0
8 [0.0 1.0 1.0 0.6363636363636364 0.36363636363636365 -0.2727272727272727 34.27272727272727 11.0 1.8181818181818181 0.0 5.636363636363637 6.7272727272727275 4.7272727272727275 36.63636363636363 34.27272727272727 -99.0 10.0 1.2727272727272727 -0.6363636363636364 -0.2727272727272727 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201505220072 201511300040 201506200087 201509110035 201605250022 201606060052 201603300053 201603220020 201510260048 201508150136 201510260046+0
9 [0.0 1.0 1.0 1.0 0.0 -1.0 205.21875 5.625 3.9375 0.0 5.6875 9.625 20.75 106.0625 205.21875 -99.0 10.0 0.0 0.90625 3.40625 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201611020007 201604160031 201611020062 201608060012 201608060013 201608060010 201608060011 201507300028 201608060017 201608060014 201608060015 201608060018 201608060019 201508080086 201611020063 201608060007 201611020010 201608060009 201608060008 201608060005 201608060004 201603060040 201608060006 201604160029 201608060003 201608060002 201608060021 201608060020 201606060005 201606060004 201605020048 201608060016+0
10 [1.0 1.0 1.0 1.0 0.0 -1.0 200.0 10.0 6.0 0.0 13.0 27.0 10.0 53.0 200.0 -99.0 10.0 0.0 0.0 -1.0 1.0 1.0 1.0 5600000.0 2.0 2.0 0.0 0.0 0.0 0.0,201510150069+13
11 [1.0 1.0 1.0 1.0 0.0 -1.0 113.0 10.0 6.0 0.0 13.0 27.0 14.0 67.0 113.0 -99.0 10.0 0.0 0.0 -1.0 1.0 54.0 1.0 -99.0 2.0 54.0 0.0 0.0 0.0 0.0,201511170009+0
